Month,DAX_Volatility
2010-01,0.01070396640206766
2010-02,0.011110897274388902
2010-03,0.007094317945657558
2010-04,0.01165755467044594
2010-05,0.02178285139806215
2010-06,0.012495221861200938
2010-07,0.010968111799117723
2010-08,0.01077539169940687
2010-09,0.008868520357161023
2010-10,0.0073068991590802025
2010-11,0.011061177515163603
2010-12,0.0082702369340968
2011-01,0.007964520029687056
2011-02,0.007755477313586998
2011-03,0.013143685899736177
2011-04,0.011023621881399104
2011-05,0.01050111866842062
2011-06,0.011189876030015637
2011-07,0.009352511241381803
2011-08,0.027053644918816448
2011-09,0.030611302078091963
2011-10,0.024527472586081546
2011-11,0.02473736769177227
2011-12,0.015017399016653998
2012-01,0.011140384737663572
2012-02,0.009240546642943076
2012-03,0.013028620286317651
2012-04,0.017217076154349233
2012-05,0.011525866670575828
2012-06,0.01624159462449534
2012-07,0.013997731267969014
2012-08,0.011889207015353965
2012-09,0.010571199528932484
2012-10,0.009285697488647887
2012-11,0.009402255293479562
2012-12,0.004335163882600232
2013-01,0.006918145152889901
2013-02,0.01203825393534274
2013-03,0.0076965030960312346
2013-04,0.012776017939601453
2013-05,0.009040367607240198
2013-06,0.012904876151863118
2013-07,0.010071896541788517
2013-08,0.00880474859619509
2013-09,0.00709365272546269
2013-10,0.006278267794505851
2013-11,0.004008631837822551
2013-12,0.010100364865857003
2014-01,0.009131685907776368
2014-02,0.007843095089706265
2014-03,0.01422808982969074
2014-04,0.010960163541798816
2014-05,0.005911846243478192
2014-06,0.004044941282693731
2014-07,0.009976784882796779
2014-08,0.01141687340618576
2014-09,0.007550861658944915
2014-10,0.01536221961485606
2014-11,0.009675670586048405
2014-12,0.01569755303639046
2015-01,0.015017602661704994
2015-02,0.007139843276316985
2015-03,0.011447004604339403
2015-04,0.014585187680656002
2015-05,0.015074673515240458
2015-06,0.015035497423957916
2015-07,0.013842427753018926
2015-08,0.02216138340962822
2015-09,0.018218289947658242
2015-10,0.0117628099558977
2015-11,0.010659313317883574
2015-12,0.017446658730871402
2016-01,0.01823588492683519
2016-02,0.019114317842604048
2016-03,0.013147491933031434
2016-04,0.013453300844117118
2016-05,0.010624628633812326
2016-06,0.021844226781094815
2016-07,0.010873219935914278
2016-08,0.0094066557027295
2016-09,0.010161538636785192
2016-10,0.007295911891605148
2016-11,0.007956589745186107
2016-12,0.007379936036897258
2017-01,0.007343204128678331
2017-02,0.006403709990172515
2017-03,0.00632202241344758
2017-04,0.008703264255008662
2017-05,0.004639634028815842
2017-06,0.00781551460529278
2017-07,0.00710995979175484
2017-08,0.007854265219329129
2017-09,0.004137997309061184
2017-10,0.004045299214224932
2017-11,0.006862844483598061
2017-12,0.0077082850097505125
2018-01,0.007253733916600607
2018-02,0.011803821691198172
2018-03,0.012318202367466032
2018-04,0.00917130535863049
2018-05,0.008966848152702354
2018-06,0.010206730460347086
2018-07,0.008059103903115223
2018-08,0.0079610633668954
2018-09,0.007023241619213378
2018-10,0.010730630764016277
2018-11,0.008654734179876866
2018-12,0.01472608652080326
2019-01,0.010563662222413773
2019-02,0.009864519533926391
2019-03,0.007294575341821062
2019-04,0.005602221592243717
2019-05,0.011183630387188757
2019-06,0.007031595495224
2019-07,0.008033047257595374
2019-08,0.012782178159743819
2019-09,0.005296047677975185
2019-10,0.010603464084119118
2019-11,0.00496039513577233
2019-12,0.008082785568431786
2020-01,0.010148304691182658
2020-02,0.01671038398657655
2020-03,0.04706325283041474
2020-04,0.026245162476554947
2020-05,0.021081995889531142
2020-06,0.02161366721944836
2020-07,0.01333232272606937
2020-08,0.010601740391754946
2020-09,0.015573988825466591
2020-10,0.014717069875996682
2020-11,0.013689155436625246
2020-12,0.01057746775738634
2021-01,0.010125418935843062
2021-02,0.007452118622258367
2021-03,0.009064603135463725
2021-04,0.00636181800174774
2021-05,0.01162402915701203
2021-06,0.007027496295972592
2021-07,0.01025692825900814
2021-08,0.0044040350031265335
2021-09,0.009839219222497277
2021-10,0.007986496244055723
2021-11,0.010381541323700854
2021-12,0.012012759303518066
2022-01,0.013446647694345955
2022-02,0.016634343452121343
2022-03,0.025902344117786278
2022-04,0.011421686650834123
2022-05,0.013589875024785406
2022-06,0.01468126643586498
2022-07,0.014486445907935285
2022-08,0.010360455486992765
2022-09,0.014956795654399445
2022-10,0.011425433323212917
2022-11,0.010625285469296425
2022-12,0.010548893531449199
2023-01,0.007712890114270182
2023-02,0.00862534855017449
2023-03,0.014336945624310283
2023-04,0.0040947460516098325
2023-05,0.008458629272285117
2023-06,0.006760693605764386
2023-07,0.008604062510916012
2023-08,0.007392715985749142
2023-09,0.006372113857555834
2023-10,0.008514610915857984
2023-11,0.00595245892956313
2023-12,0.004427872741302957
2024-01,0.0067533155574008895
2024-02,0.00524182350732921
2024-03,0.004024116402191661
2024-04,0.008758407239155724
2024-05,0.005904599213044736
2024-06,0.008760160164236575
2024-07,0.0077408945563651795
2024-08,0.010346828095878897
2024-09,0.00959920458319049
2024-10,0.006003773927769088
2024-11,0.009516975228883711
2024-12,0.006501916670679221
2025-01,0.006283702046636135
2025-02,0.009997881814141633
2025-03,0.016708524964999385
2025-04,0.02441816262480457
2025-05,0.009133545214691082
2025-06,0.008670116222871236
2025-07,0.007994120351052656
2025-08,0.008229223957958448
2025-09,0.008443654635128653
2025-10,0.008190014682873623
2025-11,0.009866540907263398
2025-12,0.0053001477151111654
2026-01,0.008281591246187001
2026-02,0.00711415031901502
2026-03,0.015718304758664203
2026-04,0.015009584831163523
2026-05,0.012769492447172605
2026-06,0.00917658293345438
